rank,N,W,MIN_POP_PCT,LAM,n_stations,direct_demand,max_demand,direct_pct_of_max,feasible,captured_demand,captured_pct_of_max,improvement_pct,current_captured,direct_improvement_pct,current_direct_demand
1,130,0.8,90,0.3,130,440097.0,2261192.0,19.46,False,1796960.8755,95.5,8.7,1653793.0999,34.8,326375.0
2,130,0.6,90,0.3,130,439166.0,2261192.0,19.42,False,1792322.6089,95.26,8.4,1653793.0999,34.6,326375.0
3,130,1.0,90,0.5,130,432334.0,2261192.0,19.12,False,1792886.4378,95.29,8.4,1653793.0999,32.5,326375.0
4,130,0.6,85,0.3,130,424582.0,2261192.0,18.78,True,1788687.273,95.06,8.2,1653793.0999,30.1,326375.0
5,130,0.6,85,0.5,130,424582.0,2261192.0,18.78,True,1788687.273,95.06,8.2,1653793.0999,30.1,326375.0
6,130,0.6,80,0.3,130,424582.0,2261192.0,18.78,True,1788687.273,95.06,8.2,1653793.0999,30.1,326375.0
7,130,0.6,80,0.5,130,424582.0,2261192.0,18.78,True,1788687.273,95.06,8.2,1653793.0999,30.1,326375.0
8,130,0.6,75,0.5,130,424582.0,2261192.0,18.78,True,1788687.273,95.06,8.2,1653793.0999,30.1,326375.0
9,130,0.6,75,0.3,130,424582.0,2261192.0,18.78,True,1788687.273,95.06,8.2,1653793.0999,30.1,326375.0
10,130,0.6,90,0.5,130,424582.0,2261192.0,18.78,False,1788687.273,95.06,8.2,1653793.0999,30.1,326375.0
11,130,1.0,85,0.3,130,423254.0,2261192.0,18.72,True,1791429.8375,95.21,8.3,1653793.0999,29.7,326375.0
12,130,0.9,85,0.3,130,423254.0,2261192.0,18.72,True,1791429.8375,95.21,8.3,1653793.0999,29.7,326375.0
13,130,0.9,75,0.3,130,423254.0,2261192.0,18.72,True,1791429.8375,95.21,8.3,1653793.0999,29.7,326375.0
14,130,1.0,75,0.3,130,423254.0,2261192.0,18.72,True,1791429.8375,95.21,8.3,1653793.0999,29.7,326375.0
15,130,0.9,80,0.3,130,423254.0,2261192.0,18.72,True,1791429.8375,95.21,8.3,1653793.0999,29.7,326375.0
16,130,1.0,80,0.3,130,423254.0,2261192.0,18.72,True,1791429.8375,95.21,8.3,1653793.0999,29.7,326375.0
17,130,0.7,80,0.5,130,421156.0,2261192.0,18.63,True,1791028.1203,95.19,8.3,1653793.0999,29.0,326375.0
18,130,0.7,80,0.3,130,421156.0,2261192.0,18.63,True,1791028.1203,95.19,8.3,1653793.0999,29.0,326375.0
19,130,0.8,85,0.3,130,421156.0,2261192.0,18.63,True,1791028.1203,95.19,8.3,1653793.0999,29.0,326375.0
20,130,0.8,80,0.5,130,421156.0,2261192.0,18.63,True,1791028.1203,95.19,8.3,1653793.0999,29.0,326375.0
21,130,0.8,85,0.5,130,421156.0,2261192.0,18.63,True,1791028.1203,95.19,8.3,1653793.0999,29.0,326375.0
22,130,0.8,80,0.3,130,421156.0,2261192.0,18.63,True,1791028.1203,95.19,8.3,1653793.0999,29.0,326375.0
23,130,0.8,75,0.3,130,421156.0,2261192.0,18.63,True,1791028.1203,95.19,8.3,1653793.0999,29.0,326375.0
24,130,0.7,90,0.3,130,421156.0,2261192.0,18.63,False,1791028.1203,95.19,8.3,1653793.0999,29.0,326375.0
25,130,0.7,85,0.5,130,421156.0,2261192.0,18.63,True,1791028.1203,95.19,8.3,1653793.0999,29.0,326375.0
26,130,0.7,85,0.3,130,421156.0,2261192.0,18.63,True,1791028.1203,95.19,8.3,1653793.0999,29.0,326375.0
