rank,N,W,MIN_POP_PCT,LAM,n_stations,kernel_captured,max_demand,captured_pct_of_max,predicted_trips_yr,vs_current_pct,feasible
1,130,0.8,90,0.3,130,2126029.0,2261192.0,94.02,2892608.0,11.5,False
2,130,0.6,90,0.3,130,2121023.0,2261192.0,93.8,2885798.0,11.2,False
3,130,0.9,80,0.5,130,2120540.0,2261192.0,93.78,2885140.0,11.2,True
4,130,1.0,80,0.5,130,2120540.0,2261192.0,93.78,2885140.0,11.2,True
5,130,1.0,85,0.5,130,2120540.0,2261192.0,93.78,2885140.0,11.2,True
6,130,0.9,85,0.5,130,2120540.0,2261192.0,93.78,2885140.0,11.2,True
7,130,0.9,75,0.5,130,2120540.0,2261192.0,93.78,2885140.0,11.2,True
8,130,0.9,90,0.5,130,2120540.0,2261192.0,93.78,2885140.0,11.2,False
9,130,1.0,75,0.5,130,2120540.0,2261192.0,93.78,2885140.0,11.2,True
10,130,1.0,90,0.5,130,2120531.0,2261192.0,93.78,2885127.0,11.2,False
11,130,0.9,90,0.3,130,2120372.0,2261192.0,93.77,2884911.0,11.2,False
12,130,1.0,90,0.3,130,2120372.0,2261192.0,93.77,2884911.0,11.2,False
13,130,1.0,85,0.3,130,2120205.0,2261192.0,93.76,2884683.0,11.2,True
14,130,0.9,85,0.3,130,2120205.0,2261192.0,93.76,2884683.0,11.2,True
15,130,1.0,75,0.3,130,2120205.0,2261192.0,93.76,2884683.0,11.2,True
16,130,1.0,80,0.3,130,2120205.0,2261192.0,93.76,2884683.0,11.2,True
17,130,0.9,75,0.3,130,2120205.0,2261192.0,93.76,2884683.0,11.2,True
18,130,0.9,80,0.3,130,2120205.0,2261192.0,93.76,2884683.0,11.2,True
19,130,0.8,85,0.3,130,2119866.0,2261192.0,93.75,2884222.0,11.1,True
20,130,0.8,80,0.5,130,2119866.0,2261192.0,93.75,2884222.0,11.1,True
21,130,0.8,85,0.5,130,2119866.0,2261192.0,93.75,2884222.0,11.1,True
22,130,0.7,85,0.3,130,2119866.0,2261192.0,93.75,2884222.0,11.1,True
23,130,0.8,75,0.5,130,2119866.0,2261192.0,93.75,2884222.0,11.1,True
24,130,0.8,75,0.3,130,2119866.0,2261192.0,93.75,2884222.0,11.1,True
25,130,0.7,90,0.3,130,2119866.0,2261192.0,93.75,2884222.0,11.1,False
26,130,0.7,80,0.5,130,2119866.0,2261192.0,93.75,2884222.0,11.1,True
27,130,0.7,85,0.5,130,2119866.0,2261192.0,93.75,2884222.0,11.1,True
28,130,0.7,80,0.3,130,2119866.0,2261192.0,93.75,2884222.0,11.1,True
29,130,0.8,80,0.3,130,2119866.0,2261192.0,93.75,2884222.0,11.1,True
30,130,0.7,75,0.3,130,2119866.0,2261192.0,93.75,2884222.0,11.1,True
31,130,0.7,75,0.5,130,2119866.0,2261192.0,93.75,2884222.0,11.1,True
32,130,0.7,90,0.5,130,2118779.0,2261192.0,93.7,2882744.0,11.1,False
33,130,0.8,90,0.5,130,2118779.0,2261192.0,93.7,2882744.0,11.1,False
34,130,0.6,90,0.5,130,2118627.0,2261192.0,93.7,2882537.0,11.1,False
35,130,0.6,85,0.5,130,2118627.0,2261192.0,93.7,2882537.0,11.1,True
36,130,0.6,85,0.3,130,2118627.0,2261192.0,93.7,2882537.0,11.1,True
37,130,0.6,80,0.5,130,2118627.0,2261192.0,93.7,2882537.0,11.1,True
38,130,0.6,80,0.3,130,2118627.0,2261192.0,93.7,2882537.0,11.1,True
